Nâng cấp bắt đầu: 14:25:00_02-04-2021
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/ckeditor.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/config.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/contents.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/lang/en.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/lang/fr.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/lang/vi.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/nv.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/autosave/css/autosave.min.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/autosave/js/extensions.min.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/balloonpanel/skins/kama/balloonpanel.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/balloonpanel/skins/moono/balloonpanel.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/balloonpanel/skins/moono-lisa/balloonpanel.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/clipboard/dialogs/paste.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/codesnippet/dialogs/codesnippet.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/colordialog/dialogs/colordialog.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/colordialog/dialogs/colordialog.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/copyformatting/styles/copyformatting.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/dialog/dialogDefinition.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/dialog/styles/dialog.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/div/dialogs/div.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/find/dialogs/find.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/flash/dialogs/flash.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/icons.png | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/icons_hidpi.png | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/iframe/dialogs/iframe.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/image2/dialogs/image2.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/link/dialogs/anchor.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/link/dialogs/link.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/liststyle/dialogs/liststyle.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/pastefromword/filter/default.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/pastetools/filter/common.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/pastetools/filter/image.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/placeholder/dialogs/placeholder.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/smiley/dialogs/smiley.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/en.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/fr.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/vi.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/specialchar.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/table/dialogs/table.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/tableselection/styles/tableselection.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/tabletools/dialogs/tableCell.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/templates/dialogs/templates.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/templates/dialogs/templates.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/templates/templates/default.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/youtube/images/icon-hdpi.png | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/youtube/images/icon.png | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/colorpanel.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie7.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie8.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_iequirks.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_gecko.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie7.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie8.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_iequirks.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/elementspath.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/icons.png | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/icons_hidpi.png | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/mainui.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/menu.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/notification.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/panel.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/presets.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/richcombo.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/toolbar.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/styles.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/vendor/promise.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/js/chart/Chart.bundle.min.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/js/chart/Chart.min.css | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/js/chart/Chart.min.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/js/clipboard/clipboard.min.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/js/jquery/jquery.min.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/js/jquery/jquery.slimscroll.min.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/js/jquery/jquery.validate.min.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/js/language/jquery.validator-en.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/js/language/jquery.validator-fr.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/js/language/jquery.validator-vi.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/js/pdf.js/viewer.js | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file assets/js/pdf.js/viewer.tpl | SUCCESS
