Nâng cấp bắt đầu: 16:37:05_06-04-2021
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file themes/admin_default/modules/themes/main.tpl | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file themes/admin_default/modules/themes/package_theme_module.tpl | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file themes/admin_default/modules/themes/setuplayout.tpl | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file themes/admin_default/modules/themes/xcopyblock.tpl | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file themes/admin_default/modules/users/config.tpl | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file themes/admin_default/modules/users/config_oauth.tpl | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file themes/admin_default/modules/users/config_single-sign-on.tpl | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file themes/admin_default/modules/users/getuserid.tpl | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file themes/admin_default/modules/users/groups.tpl | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file themes/admin_default/modules/users/main.tpl | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file themes/admin_default/modules/users/siteterms.tpl | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file themes/admin_default/modules/users/user_add.tpl | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file themes/admin_default/modules/users/user_edit.tpl | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file themes/admin_default/modules/users/user_waitting.tpl | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file themes/admin_default/modules/webtools/clearsystem.tpl | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file themes/admin_default/modules/webtools/config.tpl | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file themes/admin_default/modules/webtools/statistics.tpl | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file themes/default/css/style.css | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file themes/default/system/mail.tpl | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file vendor/composer/autoload_classmap.php | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file vendor/composer/autoload_static.php | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file vendor/composer/installed.json | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file vendor/phpmailer/phpmailer/VERSION | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file vendor/phpmailer/phpmailer/src/PHPMailer.php | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file vendor/phpmailer/phpmailer/src/POP3.php | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file vendor/phpmailer/phpmailer/src/SMTP.php | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file vendor/vinades/nukeviet/Client/UrlGetContents.php | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file vendor/vinades/nukeviet/Core/Ips.php | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file vendor/vinades/nukeviet/Core/Request.php | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file vendor/vinades/nukeviet/Core/Sendmail.php | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file vendor/vinades/nukeviet/Core/Server.php | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file vendor/vinades/nukeviet/Files/Upload.php | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file vendor/vinades/nukeviet/Http/Cookie.php | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file vendor/vinades/nukeviet/Http/Curl.php | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file vendor/vinades/nukeviet/Http/Http.php | SUCCESS
16:37:14_06-04-2021 | 127.0.0.1 | Di chuyển file vendor/vinades/pclzip/pclzip.lib.php | SUCCESS
