Nâng cấp bắt đầu: 10:36:27_25-03-2022
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/seotools/sitemapPing.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/admin.menu.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/cronjobs.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/cronjobs_act.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/cronjobs_add.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/cronjobs_del.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/cronjobs_edit.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/ftp.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/functions.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/main.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/plugin.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/security.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/smtp.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/system.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/variables.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/siteinfo/logs_del.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/siteinfo/notification.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/activatetheme.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/block_change_show.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/block_content.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/block_outgroup.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/blocks_change_active.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/blocks_change_order.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/blocks_change_order_group.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/blocks_change_pos.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/blocks_del.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/blocks_del_group.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/blocks_func.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/deletetheme.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/main.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/package_theme_module.php | SUCCESS
